name,class_weight,wins,wins_by_ko_tko,wins_by_submission,wins_by_decision
Yazmin Jauregui,Strawweight,11.0,7.0,0.0,4.0
Julianna Pena,Bantamweight,11.0,3.0,5.0,3.0
Pearl Gonzalez,Flyweight,11.0,1.0,6.0,4.0
Angela Magana,Strawweight,11.0,2.0,6.0,3.0
Nina Nunes,Flyweight,11.0,4.0,2.0,5.0
Vanessa Demopoulos,Strawweight,11.0,1.0,4.0,6.0
Tracy Cortez,Flyweight,11.0,1.0,1.0,9.0
Bethe Correia,Bantamweight,11.0,2.0,0.0,9.0
Norma Dumont,Bantamweight,11.0,0.0,2.0,9.0
Sarah Frota,Strawweight,11.0,3.0,6.0,2.0
Jinh Yu Frey,Strawweight,11.0,1.0,2.0,8.0
Vanessa Melo,Lightweight,11.0,0.0,2.0,9.0
Megan Anderson,Featherweight,11.0,6.0,3.0,2.0
Silvana Gomez Juarez,Strawweight,11.0,7.0,2.0,2.0
Randa Markos,Strawweight,11.0,0.0,4.0,7.0
Luana Pinheiro,Strawweight,11.0,2.0,5.0,3.0
Danielle Taylor,Strawweight,11.0,3.0,1.0,7.0
Poliana Botelho,Light Heavyweight,10.0,6.0,2.0,2.0
Hannah Cifers,Strawweight,10.0,5.0,0.0,5.0
Cortney Casey,Flyweight,10.0,3.0,4.0,3.0
Antonina Shevchenko,Flyweight,10.0,3.0,1.0,6.0
Talita Bernardo,Bantamweight,10.0,0.0,6.0,4.0
Valerie Letourneau,Strawweight,10.0,4.0,1.0,5.0
Sheila Gaff,Flyweight,10.0,5.0,5.0,0.0
Barb Honchak,Flyweight,10.0,1.0,2.0,7.0
Juliana Lima,Strawweight,10.0,2.0,0.0,8.0
Mariya Agapova,Flyweight,10.0,3.0,5.0,2.0
Sabina Mazo,Flyweight,10.0,2.0,1.0,7.0
Ailin Perez,Bantamweight,10.0,4.0,1.0,5.0
Lina Lansberg,Bantamweight,10.0,4.0,0.0,6.0
Luana Carolina,Bantamweight,10.0,3.0,1.0,6.0
Montserrat Ruiz,Strawweight,10.0,3.0,2.0,5.0
Eduarda Moura,Flyweight,10.0,4.0,5.0,1.0
Jasmine Jasudavicius,Bantamweight,10.0,2.0,2.0,6.0
Mayra Bueno Silva,Bantamweight,10.0,1.0,7.0,2.0
Gillian Robertson,Bantamweight,10.0,7.0,1.0,2.0
Germaine de Randamie,Bantamweight,10.0,4.0,1.0,5.0
Josiane Nunes,Bantamweight,10.0,7.0,0.0,3.0
Tabatha Ricci,Strawweight,10.0,1.0,3.0,6.0
Konklak Suphisara,Strawweight,9.0,1.0,1.0,7.0
Bruna Brasil,Strawweight,9.0,3.0,2.0,4.0
Dariya Zheleznyakova,Bantamweight,9.0,5.0,0.0,4.0
Mallory Martin,Strawweight,9.0,2.0,2.0,5.0
Julia Avila,Bantamweight,9.0,4.0,2.0,3.0
Veronica Hardy,Flyweight,9.0,1.0,2.0,6.0
Brianna Fortino,Strawweight,9.0,2.0,3.0,4.0
Justine Kish,Flyweight,9.0,0.0,2.0,7.0
Lara Fritzen,Flyweight,9.0,1.0,3.0,5.0
Marion Reneau,Bantamweight,9.0,5.0,3.0,1.0
Sarah Alpar,Flyweight,9.0,2.0,2.0,5.0
Felicia Spencer,Featherweight,9.0,3.0,4.0,2.0
Shanna Young,Bantamweight,9.0,2.0,3.0,4.0
Cynthia Calvillo,Flyweight,9.0,2.0,3.0,4.0
Piera Rodriguez,Strawweight,9.0,5.0,0.0,4.0
Victoria Leonardo,Flyweight,9.0,1.0,4.0,4.0
Ji Yeon Kim,Flyweight,9.0,2.0,3.0,4.0
Macy Chiasson,Bantamweight,9.0,2.0,3.0,4.0
Melissa Gatto,Bantamweight,9.0,3.0,4.0,2.0
Paige VanZant,Flyweight,8.0,2.0,3.0,3.0
Bec Rawlings,Strawweight,8.0,1.0,4.0,3.0
Heather Clark,Strawweight,8.0,2.0,3.0,3.0
Izabela Badurek,Flyweight,8.0,2.0,5.0,1.0
Christina Marks,Flyweight,8.0,3.0,2.0,3.0
Victoria Dudakova,Flyweight,8.0,2.0,4.0,2.0
Mandy Bohm,Flyweight,8.0,2.0,2.0,4.0
Liliya Shakirova,Flyweight,8.0,3.0,1.0,4.0
Ericka Almeida,Bantamweight,8.0,2.0,6.0,0.0
Gabriella Fernandes,Flyweight,8.0,3.0,2.0,3.0
Denise Gomes,Strawweight,8.0,6.0,0.0,2.0
Nora Cornolle,Featherweight,8.0,6.0,1.0,1.0
Ashley Yoder,Strawweight,8.0,0.0,4.0,4.0
Stephanie Egger,Bantamweight,8.0,3.0,4.0,1.0
Sam Hughes,Strawweight,8.0,2.0,3.0,3.0
Puja Tomar,Strawweight,8.0,6.0,0.0,2.0
Gina Mazany,Flyweight,8.0,3.0,2.0,3.0
Jaqueline Amorim,Strawweight,8.0,2.0,6.0,0.0
Cory McKenna,Strawweight,8.0,2.0,2.0,4.0
Tamires Vidal,Bantamweight,7.0,1.0,2.0,3.0
Luana Santos,Featherweight,7.0,1.0,3.0,3.0
Sijara Eubanks,Bantamweight,7.0,3.0,0.0,4.0
Miranda Granger,Strawweight,7.0,1.0,5.0,1.0
Ivana Petrovic,Flyweight,7.0,3.0,3.0,1.0
Liana Jojua,Bantamweight,7.0,1.0,5.0,1.0
Ye Dam Seo,Strawweight,7.0,1.0,3.0,3.0
Brogan Walker,Flyweight,7.0,0.0,1.0,6.0
Cheyanne Vlismas,Strawweight,7.0,2.0,0.0,5.0
Tainara Lisboa,Bantamweight,7.0,3.0,3.0,1.0
Kay Hansen,Flyweight,7.0,2.0,4.0,1.0
Hailey Cowan,Featherweight,7.0,2.0,2.0,3.0
Dione Barbosa,Flyweight,7.0,0.0,3.0,4.0
Isabela de Padua,Strawweight,7.0,2.0,3.0,2.0
Tereza Bleda,Flyweight,7.0,2.0,2.0,3.0
Josefine Lindgren Knutsson,Strawweight,7.0,1.0,0.0,6.0
Hannah Goldy,Strawweight,7.0,1.0,2.0,4.0
Ravena Oliveira,Bantamweight,7.0,6.0,1.0,0.0
Jocelyn Jones-Lybarger,Strawweight,6.0,0.0,1.0,5.0
